1, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.0 in., 50.2 in., 42.3 in., 55.6 in., 51.7 in., 35.9 in., 34.0 in., 53.5 in.,5 ft. 10.6 in. (70.6 in.),4 ft. 7.6 in. (55.6 in.),14 ft. 11.1 in. (179.1 in.),8 ft. 9.1 in. (105.1 in.),,,, 101.6 cu.ft., 2955 lbs., 12.3 cu.ft.,,,,,,,, 2.0 L, Single overhead cam (SOHC), Inline 4,16, Variable, 140 ft-lbs. @ 4300 rpm, 150 hp @ 6500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 5-speed shiftable automatic
42, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,5 ft. 11.9 in. (71.9 in.),4 ft. 8.2 in. (56.2 in.),15 ft. 5.1 in. (185.1 in.),9 ft. 2.6 in. (110.6 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 37.7 ft., Gas, Premium unleaded (required), 16.1 gal., 354.2/499.1 mi., 22/31 mpg, Front wheel drive, Continuously variable-speed automatic
43, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 38.9 in.,,,,,,,,6 ft. 0.5 in. (72.5 in.),4 ft. 8.2 in. (56.2 in.),15 ft. 6.1 in. (186.1 in.),9 ft. 3 in. (111 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 273 ft-lbs. @ 1600 rpm, 252 hp @ 5000 rpm, 38.1 ft., Gas, Premium unleaded (required), 15.3 gal., 382.5/504.9 mi., 25/33 mpg, Front wheel drive, 8-speed shiftable automatic
44, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 40.0 in.,,,,,,,,6 ft. 1 in. (73 in.),4 ft. 6 in. (54 in.),15 ft. 2.1 in. (182.1 in.),9 ft. 0.3 in. (108.3 in.),,,, 93.3 cu.ft., 4045 lbs., 10.2 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 322.0/450.8 mi., 20/28 mpg, All wheel drive, 8-speed shiftable automatic
45, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 40.0 in.,,,,,,,,6 ft. 1 in. (73 in.),4 ft. 6 in. (54 in.),15 ft. 2.1 in. (182.1 in.),9 ft. 0.3 in. (108.3 in.),,,, 93.3 cu.ft., 4045 lbs., 10.2 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 338.1/466.9 mi., 21/29 mpg, All wheel drive, 8-speed shiftable automatic
46, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.5 in.,,,,,,,,6 ft. 1 in. (73 in.),4 ft. 6 in. (54 in.),15 ft. 2.1 in. (182.1 in.),9 ft. 0.3 in. (108.3 in.),,,, 96.2 cu.ft., 3583 lbs., 12.2 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 354.2/515.2 mi., 22/32 mpg, All wheel drive, 6-speed manual
47, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.5 in.,,,,,,,,6 ft. 1 in. (73 in.),4 ft. 6 in. (54 in.),15 ft. 2.1 in. (182.1 in.),9 ft. 0.3 in. (108.3 in.),,,, 96.2 cu.ft., 3583 lbs., 12.2 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 354.2/515.2 mi., 22/32 mpg, All wheel drive, 6-speed manual
48, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.2 in.,,,,,,,,6 ft. 1.8 in. (73.8 in.),4 ft. 9.8 in. (57.8 in.),16 ft. 1.9 in. (193.9 in.),9 ft. 6.7 in. (114.7 in.),,,, 112.1 cu.ft., 4178 lbs., 14.1 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24,,,,,, Diesel fuel, 19.2 gal., 460.8/729.6 mi., 24/38 mpg, All wheel drive, 8-speed shiftable automatic
49, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.8 in.,,,,,,,,6 ft. 1.8 in. (73.8 in.),4 ft. 9.8 in. (57.8 in.),16 ft. 1.9 in. (193.9 in.),9 ft. 6.7 in. (114.7 in.),,,, 112.1 cu.ft., 4277 lbs., 14.1 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24,,,,,, Diesel fuel, 19.2 gal., 480.0/729.6 mi., 25/38 mpg, All wheel drive, 8-speed shiftable automatic
50, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.2 in.,,,,,,,,6 ft. 1.8 in. (73.8 in.),4 ft. 9.8 in. (57.8 in.),16 ft. 1.9 in. (193.9 in.),9 ft. 6.7 in. (114.7 in.),,,, 111.3 cu.ft., 3726 lbs., 14.1 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 39.0 ft., Gas, Premium unleaded (required), 19.8 gal., 495.0/653.4 mi., 25/33 mpg, Front wheel drive, Continuously variable-speed automatic
51, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.8 in.,,,,,,,,6 ft. 1.8 in. (73.8 in.),4 ft. 9.8 in. (57.8 in.),16 ft. 1.9 in. (193.9 in.),9 ft. 6.7 in. (114.7 in.),,,, 112.1 cu.ft., 3803 lbs., 14.1 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 273 ft-lbs. @ 1600 rpm, 252 hp @ 5000 rpm, 39.0 ft., Gas, Premium unleaded (required), 19.8 gal., 475.2/693.0 mi., 24/35 mpg, Front wheel drive, 7-speed automated manual
52, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,,,,,,,, 119.0 cu.ft., 4266 lbs., 24.5 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24,,,,,, Diesel fuel, 19.2 gal., 460.8/729.6 mi., 24/38 mpg, All wheel drive, 8-speed shiftable automatic
53, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,,,,,,,, 119.0 cu.ft., 4288 lbs., 24.5 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24,,,,,, Diesel fuel, 19.8 gal., 495.0/752.4 mi., 25/38 mpg, All wheel drive, 8-speed shiftable automatic
54, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,,,,,,,, 119.0 cu.ft., 4200 lbs., 24.5 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 310 hp @ 5500 rpm, 39.0 ft., Gas, Premium unleaded (required), 19.8 gal., 356.4/554.4 mi., 18/28 mpg, All wheel drive, 8-speed shiftable automatic
55, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,,,,,,,, 119.0 cu.ft., 4288 lbs., 24.5 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5300 rpm, 39.0 ft., Gas, Premium unleaded (required), 19.8 gal., 396.0/594.0 mi., 20/30 mpg, All wheel drive, 8-speed shiftable automatic
56, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.2 in.,,,,,,,,6 ft. 4.7 in. (76.7 in.),4 ft. 9.9 in. (57.9 in.),17 ft. 3.4 in. (207.4 in.),10 ft. 2.9 in. (122.9 in.),,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 428 ft-lbs. @ 1750 rpm, 240 hp @ 3500 rpm, 41.7 ft.,, Diesel fuel, 23.8 gal., 571.2/856.8 mi., 24/36 mpg, All wheel drive, 8-speed shiftable automatic
57, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.2 in.,,,,,,,,6 ft. 4.7 in. (76.7 in.),4 ft. 9.9 in. (57.9 in.),17 ft. 3.4 in. (207.4 in.),10 ft. 2.9 in. (122.9 in.),,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 428 ft-lbs. @ 1750 rpm, 240 hp @ 3500 rpm, 41.7 ft.,, Diesel fuel, 23.8 gal., 571.2/856.8 mi., 24/36 mpg, All wheel drive, 8-speed shiftable automatic
58, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.2 in.,,,,,,,,6 ft. 4.7 in. (76.7 in.),4 ft. 9.5 in. (57.5 in.),16 ft. 10.2 in. (202.2 in.),9 ft. 9.8 in. (117.8 in.),,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5300 rpm, 40.4 ft., Gas, Premium unleaded (required), 23.8 gal., 452.2/690.2 mi., 19/29 mpg, All wheel drive, 8-speed shiftable automatic
59, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.2 in.,,,,,,,,6 ft. 4.7 in. (76.7 in.),4 ft. 9.9 in. (57.9 in.),17 ft. 3.4 in. (207.4 in.),10 ft. 2.9 in. (122.9 in.),,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5300 rpm, 41.7 ft., Gas, Premium unleaded (required), 23.8 gal., 428.4/666.4 mi., 18/28 mpg, All wheel drive, 8-speed shiftable automatic
60, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 38.5 in.,,,,,,,,6 ft. 0.5 in. (72.5 in.),4 ft. 10 in. (58 in.),15 ft. 5.9 in. (185.9 in.),,,,, 118.0 cu.ft., 3891 lbs., 27.6 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 37.7 ft., Gas, Premium unleaded (recommended), 16.1 gal., 338.1/450.8 mi., 21/28 mpg, All wheel drive, 8-speed shiftable automatic
61, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 38.5 in.,,,,,,,,6 ft. 0.5 in. (72.5 in.),4 ft. 10 in. (58 in.),15 ft. 5.9 in. (185.9 in.),,,,, 118.0 cu.ft., 3891 lbs., 27.6 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 37.7 ft., Gas, Premium unleaded (recommended), 16.1 gal., 338.1/450.8 mi., 21/28 mpg, All wheel drive, 8-speed shiftable automatic
62, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,6 ft. 0.2 in. (72.2 in.),5 ft. 2.5 in. (62.5 in.),14 ft. 4.6 in. (172.6 in.),8 ft. 6.5 in. (102.5 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 207 ft-lbs. @ 1700 rpm, 200 hp @ 5100 rpm, 38.7 ft., Gas, Premium unleaded (recommended), 16.9 gal., 338.0/490.1 mi., 20/29 mpg, Front wheel drive, 6-speed shiftable automatic
63, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.0 in.,,,,,,,,6 ft. 0.2 in. (72.2 in.),5 ft. 2.6 in. (62.6 in.),14 ft. 4.8 in. (172.8 in.),8 ft. 6.5 in. (102.5 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 207 ft-lbs. @ 1700 rpm, 200 hp @ 5100 rpm, 38.7 ft., Gas, Premium unleaded (recommended), 16.9 gal., 338.0/490.1 mi., 20/29 mpg, Front wheel drive, 6-speed shiftable automatic
64, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 39.4 in.,,,,,,,,6 ft. 2.7 in. (74.7 in.),5 ft. 5.2 in. (65.2 in.),15 ft. 2.6 in. (182.6 in.),,,,,, 4475 lbs., 29.1 cu.ft., 4400 lbs.,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24,,,,,, Diesel fuel, 19.8 gal., 475.2/613.8 mi., 24/31 mpg, All wheel drive, 8-speed shiftable automatic
65, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 39.4 in.,,,,,,,,6 ft. 2.7 in. (74.7 in.),5 ft. 5.2 in. (65.2 in.),15 ft. 2.6 in. (182.6 in.),,,,,, 4475 lbs., 29.1 cu.ft., 4400 lbs.,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24,,,,,, Diesel fuel, 19.8 gal., 475.2/613.8 mi., 24/31 mpg, All wheel drive, 8-speed shiftable automatic
66, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 39.4 in.,,,,,,,,6 ft. 2.7 in. (74.7 in.),5 ft. 5.2 in. (65.2 in.),15 ft. 2.6 in. (182.6 in.),,,,,, 4431 lbs., 29.1 cu.ft., 4400 lbs.,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 354 ft-lbs. @ 1500 rpm, 245 hp @ 4300 rpm, 38.1 ft., Hybrid, Premium unleaded (required), 19.8 gal., 475.2/594.0 mi., 24/30 mpg, All wheel drive, 8-speed shiftable automatic
67, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 39.4 in.,,,,,,,,6 ft. 2.7 in. (74.7 in.),5 ft. 5.2 in. (65.2 in.),15 ft. 2.6 in. (182.6 in.),,,,,, 4431 lbs., 29.1 cu.ft., 4400 lbs.,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 354 ft-lbs. @ 1500 rpm, 245 hp @ 4300 rpm, 38.1 ft., Hybrid, Premium unleaded (required), 19.0 gal., 456.0/570.0 mi., 24/30 mpg, All wheel drive, 8-speed shiftable automatic
68, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 38.1 in.,,,,,,,,6 ft. 2.7 in. (74.7 in.),5 ft. 5.2 in. (65.2 in.),15 ft. 2.6 in. (182.6 in.),,,,,, 4079 lbs., 29.1 cu.ft., 4400 lbs.,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 38.1 ft., Gas, Premium unleaded (required), 19.8 gal., 396.0/554.4 mi., 20/28 mpg, All wheel drive, 8-speed shiftable automatic
69, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 39.4 in.,,,,,,,,6 ft. 2.7 in. (74.7 in.),5 ft. 5.2 in. (65.2 in.),15 ft. 2.6 in. (182.6 in.),,,,,, 4079 lbs., 29.1 cu.ft., 4400 lbs.,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 38.1 ft., Gas, Premium unleaded (required), 19.8 gal., 396.0/554.4 mi., 20/28 mpg, All wheel drive, 8-speed shiftable automatic
70, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 39.5 in.,,,,,,,,6 ft. 6.1 in. (78.1 in.),5 ft. 8.4 in. (68.4 in.),16 ft. 8.3 in. (200.3 in.),,,,,, 5412 lbs., 10.9 cu.ft., 6600 lbs.,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24,,,,,, Diesel fuel, 26.4 gal., 501.6/739.2 mi., 19/28 mpg, All wheel drive, 8-speed shiftable automatic
71, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 39.5 in.,,,,,,,,6 ft. 6.1 in. (78.1 in.),5 ft. 8.4 in. (68.4 in.),16 ft. 8.3 in. (200.3 in.),,,,,, 5192 lbs., 10.9 cu.ft., 6600 lbs.,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 295 ft-lbs. @ 2150 rpm, 280 hp @ 4920 rpm, 39.4 ft., Gas, Premium unleaded (required), 26.4 gal., 422.4/580.8 mi., 16/22 mpg, All wheel drive, 8-speed shiftable automatic
72, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 38.4 in.,,,,,,,,6 ft. 5.5 in. (77.5 in.),5 ft. 8.5 in. (68.5 in.),16 ft. 7.6 in. (199.6 in.),9 ft. 9.9 in. (117.9 in.),,,,, 4938 lbs., 14.8 cu.ft., 7700 lbs.,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5500 rpm, 40.7 ft., Gas, Premium unleaded (required), 22.5 gal., 427.5/562.5 mi., 19/25 mpg, All wheel drive, 8-speed shiftable automatic
73, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,,,,,,,,,,6 ft. 3 in. (75 in.),4 ft. 1 in. (49 in.),14 ft. 6.4 in. (174.4 in.),8 ft. 8.3 in. (104.3 in.),,,,,,,,,,,,,, 4.2 L, Double overhead cam (DOHC), V8,32, Variable, 317 ft-lbs. @ 4500 rpm, 430 hp @ 7900 rpm, 38.7 ft., Gas, Premium unleaded (required), 21.1 gal., 232.1/422.0 mi., 11/20 mpg, All wheel drive, 6-speed manual
74, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,,,,,,,,,,6 ft. 3 in. (75 in.),4 ft. 1.3 in. (49.3 in.),14 ft. 7 in. (175 in.),8 ft. 8.3 in. (104.3 in.),,,,,,,,,,,,,, 4.2 L, Double overhead cam (DOHC), V8,32, Variable, 317 ft-lbs. @ 4500 rpm, 430 hp @ 7900 rpm, 38.7 ft., Gas, Premium unleaded (required), 23.8 gal., 261.8/476.0 mi., 11/20 mpg, All wheel drive, 6-speed manual
75, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,,,,,,,,,,6 ft. 4.4 in. (76.4 in.),4 ft. 0.8 in. (48.8 in.),14 ft. 6.3 in. (174.3 in.),8 ft. 8.3 in. (104.3 in.),,,,,,,,,,,,,, 5.2 L, Double overhead cam (DOHC), V10,40, Variable, 398 ft-lbs. @ 6500 rpm, 540 hp @ 7800 rpm, 36.7 ft., Gas, Premium unleaded (required), 21.9 gal., 306.6/481.8 mi., 14/22 mpg, All wheel drive, 7-speed automated manual
76, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 40.0 in.,,,,,,,,6 ft. 1.2 in. (73.2 in.),4 ft. 6.2 in. (54.2 in.),15 ft. 3 in. (183 in.),9 ft. 0.3 in. (108.3 in.),,,,,,,,,,,,,, 4.2 L, Double overhead cam (DOHC), V8,32, Variable, 316 ft-lbs. @ 4000 rpm, 450 hp @ 8250 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 257.6/354.2 mi., 16/22 mpg, All wheel drive, 7-speed automated manual
77, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.5 in.,,,,,,,,6 ft. 1.2 in. (73.2 in.),4 ft. 5.8 in. (53.8 in.),15 ft. 3 in. (183 in.),9 ft. 0.3 in. (108.3 in.),,,,,,,,,,,,,, 4.2 L, Double overhead cam (DOHC), V8,32, Variable, 316 ft-lbs. @ 4000 rpm, 450 hp @ 8250 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 257.6/370.3 mi., 16/23 mpg, All wheel drive, 7-speed automated manual
78, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,,,,,,,, 119.0 cu.ft., 4475 lbs., 24.5 cu.ft.,,,,,,,, 4.0 L, Double overhead cam (DOHC), V8,32, Variable, 516 ft-lbs. @ 1750 rpm, 560 hp @ 5700 rpm,, Gas, Premium unleaded (required), 19.8 gal., 316.8/534.6 mi., 16/27 mpg, All wheel drive, 8-speed shiftable automatic
79, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,6 ft. 3.2 in. (75.2 in.),4 ft. 7.9 in. (55.9 in.),16 ft. 5.3 in. (197.3 in.),9 ft. 6.8 in. (114.8 in.),,,, 119.0 cu.ft., 4497 lbs., 24.5 cu.ft.,,,,,,,, 4.0 L, Double overhead cam (DOHC), V8,32, Variable, 516 ft-lbs. @ 1750 rpm, 560 hp @ 5700 rpm,, Gas, Premium unleaded (required), 19.8 gal., 297.0/495.0 mi., 15/25 mpg, All wheel drive, 8-speed shiftable automatic
80, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,,,,,,,,,,5 ft. 10 in. (70 in.),4 ft. 7.7 in. (55.7 in.),14 ft. 7.4 in. (175.4 in.),8 ft. 7.8 in. (103.8 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 280 ft-lbs. @ 1900 rpm, 292 hp @ 5400 rpm,, Gas, Premium unleaded (required),,,, All wheel drive, 6-speed automated manual
81, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.5 in.,,,,,,,,5 ft. 10 in. (70 in.),4 ft. 6.8 in. (54.8 in.),14 ft. 7.9 in. (175.9 in.),8 ft. 7.6 in. (103.6 in.),,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 280 ft-lbs. @ 1900 rpm, 292 hp @ 5400 rpm, 36.1 ft., Gas, Premium unleaded (required), 14.5 gal., 333.5/449.5 mi., 23/31 mpg, All wheel drive, 6-speed automated manual
82, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,,,,,,,,,,5 ft. 11.9 in. (71.9 in.),4 ft. 7.4 in. (55.4 in.),15 ft. 5.7 in. (185.7 in.),9 ft. 2.7 in. (110.7 in.),,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5500 rpm, 37.7 ft., Gas, Premium unleaded (required), 16.1 gal., 273.7/418.6 mi., 17/26 mpg, All wheel drive, 6-speed manual
83, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 38.0 in.,,,,,,,,5 ft. 11.9 in. (71.9 in.),4 ft. 7.4 in. (55.4 in.),15 ft. 5.7 in. (185.7 in.),9 ft. 2.7 in. (110.7 in.),,,,,,,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5500 rpm, 37.7 ft., Gas, Premium unleaded (required), 16.1 gal., 273.7/418.6 mi., 17/26 mpg, All wheel drive, 6-speed manual
84, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 40.0 in.,,,,,,,,6 ft. 1 in. (73 in.),4 ft. 6.2 in. (54.2 in.),15 ft. 2.7 in. (182.7 in.),9 ft. 0.3 in. (108.3 in.),,,, 94.3 cu.ft., 4045 lbs., 10.2 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5500 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 289.8/418.6 mi., 18/26 mpg, All wheel drive, 7-speed automated manual
85, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 40.0 in.,,,,,,,,6 ft. 1 in. (73 in.),4 ft. 6.2 in. (54.2 in.),15 ft. 2.7 in. (182.7 in.),9 ft. 0.3 in. (108.3 in.),,,, 94.3 cu.ft., 4310 lbs., 10.2 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5500 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 289.8/418.6 mi., 18/26 mpg, All wheel drive, 7-speed automated manual
86, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.6 in.,,,,,,,,6 ft. 1 in. (73 in.),4 ft. 5.9 in. (53.9 in.),15 ft. 2.7 in. (182.7 in.),9 ft. 0.3 in. (108.3 in.),,,, 96.2 cu.ft., 3858 lbs., 12.2 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5500 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 273.7/418.6 mi., 17/26 mpg, All wheel drive, 6-speed manual
87, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.5 in.,,,,,,,,6 ft. 1 in. (73 in.),4 ft. 5.9 in. (53.9 in.),15 ft. 2.7 in. (182.7 in.),9 ft. 0.3 in. (108.3 in.),,,, 96.2 cu.ft., 3858 lbs., 12.2 cu.ft.,,,,,,,, 3.0 L, Double overhead cam (DOHC), V6,24, Variable, 325 ft-lbs. @ 2900 rpm, 333 hp @ 5500 rpm, 37.4 ft., Gas, Premium unleaded (required), 16.1 gal., 273.7/418.6 mi., 17/26 mpg, All wheel drive, 6-speed manual
88, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.2 in.,,,,,,,,6 ft. 1.8 in. (73.8 in.),4 ft. 9.8 in. (57.8 in.),16 ft. 1.9 in. (193.9 in.),9 ft. 6.7 in. (114.7 in.),,,, 112.1 cu.ft., 4398 lbs., 14.1 cu.ft.,,,,,,,, 4.0 L, Double overhead cam (DOHC), V8,32, Variable, 406 ft-lbs. @ 1400 rpm, 420 hp @ 5500 rpm, 39.0 ft., Gas, Premium unleaded (required), 19.8 gal., 336.6/534.6 mi., 17/27 mpg, All wheel drive, 7-speed automated manual
