1, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.0 in., 50.2 in., 42.3 in., 55.6 in., 51.7 in., 35.9 in., 34.0 in., 53.5 in.,5 ft. 10.6 in. (70.6 in.),4 ft. 7.6 in. (55.6 in.),14 ft. 11.1 in. (179.1 in.),8 ft. 9.1 in. (105.1 in.),,,, 101.6 cu.ft., 2955 lbs., 12.3 cu.ft.,,,,,,,, 2.0 L, Single overhead cam (SOHC), Inline 4,16, Variable, 140 ft-lbs. @ 4300 rpm, 150 hp @ 6500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 5-speed shiftable automatic
32,,,,,,,,,,,,,,,,6 ft. 3.2 in. (75.2 in.),4 ft. 2.9 in. (50.9 in.),15 ft. 4.7 in. (184.7 in.),8 ft. 11.9 in. (107.9 in.),,,,,,,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48,,,,, Gas, Premium unleaded (required), 20.5 gal., 266.5/430.5 mi., 13/21 mpg, Rear wheel drive, 8-speed shiftable automatic
33,,,,,,,,,,,,,,,,6 ft. 3.2 in. (75.2 in.),4 ft. 2.9 in. (50.9 in.),15 ft. 4.7 in. (184.7 in.),8 ft. 11.9 in. (107.9 in.),,,, 83.0 cu.ft., 3834 lbs., 5.0 cu.ft.,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48, Variable, 465 ft-lbs. @ 5500 rpm, 568 hp @ 6650 rpm,, Gas, Premium unleaded (required), 20.5 gal., 266.5/430.5 mi., 13/21 mpg, Rear wheel drive, 8-speed shiftable automatic
34,,,,,,,,,,,,,,,,6 ft. 3.2 in. (75.2 in.),4 ft. 2.9 in. (50.9 in.),15 ft. 4.7 in. (184.7 in.),8 ft. 11.9 in. (107.9 in.),,,, 83.0 cu.ft., 3834 lbs., 5.0 cu.ft.,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48,,,,, Gas, Premium unleaded (required), 20.5 gal., 266.5/430.5 mi., 13/21 mpg, Rear wheel drive, 8-speed shiftable automatic
35, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.4 in.,,,,,,,,,,,,,,,,,,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 200 ft-lbs. @ 1600 rpm, 170 hp @ 4500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 6-speed automated manual
36, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 37.4 in.,,,,,,,,,,,,,,,,,,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 200 ft-lbs. @ 1600 rpm, 170 hp @ 4500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 6-speed automated manual
37, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.5 in.,,,,,,,,,,,,,,,,,,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16,,,,,, Diesel fuel, 13.2 gal., 409.2/567.6 mi., 31/43 mpg, Front wheel drive, 6-speed automated manual
38, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.5 in.,,,,,,,,,,,,,,,, 3175 lbs., 10.0 cu.ft.,,,,,, 0.30 Cd,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 200 ft-lbs. @ 1600 rpm, 170 hp @ 4500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 14.5 gal., 333.5/478.5 mi., 23/33 mpg, Front wheel drive, 6-speed automated manual
39, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.5 in.,,,,,,,,,,,,,,,,,,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 200 ft-lbs. @ 1600 rpm, 170 hp @ 4500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 303.6/435.6 mi., 23/33 mpg, Front wheel drive, 6-speed automated manual
40, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,,,,,,,,,,,,,,,,,, 1.4 L,,,,,,,, Hybrid, Premium unleaded (recommended), 10.6 gal., N/A,, Front wheel drive, 6-speed automated manual
41, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,,, 1 yr./ 5000 mi.,,, 36.9 in.,,,,,,,,5 ft. 11.9 in. (71.9 in.),4 ft. 8.2 in. (56.2 in.),15 ft. 5.1 in. (185.1 in.),9 ft. 2.6 in. (110.6 in.),,,, 103.4 cu.ft., 3516 lbs., 12.4 cu.ft.,,,,,,,, 2.0 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 1500 rpm, 220 hp @ 4450 rpm, 37.7 ft., Gas, Premium unleaded (required), 16.1 gal., 386.4/515.2 mi., 24/32 mpg, Front wheel drive, Continuously variable-speed automatic
